month,all_items,accommodation
01-09-2024,116.864,114.679
01-08-2024,116.57,114.566
01-07-2024,116.328,114.813
01-06-2024,116.065,113.833
01-05-2024,116.316,113.66
01-04-2024,116.363,114.267
01-03-2024,115.406,113.26
01-02-2024,115.449,113.027
01-01-2024,115.403,113.805
01-12-2023,115.152,112.727
01-11-2023,114.72,112.446
01-10-2023,115.452,112.635
01-09-2023,114.69,111.859
01-08-2023,114.114,111.543
01-07-2023,113.644,111.623
01-06-2023,113.388,110.458
01-05-2023,112.847,110.136
01-04-2023,113.294,110.655
01-03-2023,112.396,109.439
01-02-2023,111.937,109.041
01-01-2023,111.561,109.347
01-12-2022,111.002,108.205
01-11-2022,110.775,107.935
01-10-2022,110.218,108.186
01-09-2022,110.156,107.24
01-08-2022,109.681,106.809
01-07-2022,109.158,106.829
01-06-2022,108.491,105.647
01-05-2022,107.42,105.195
01-04-2022,107.138,105.661
01-03-2022,106.514,104.343
01-02-2022,105.302,103.948
01-01-2022,104.626,104.168
01-12-2021,104.266,103.284
01-11-2021,103.787,102.905
01-10-2021,103.255,103.154
01-09-2021,102.487,102.144
01-08-2021,102.062,101.966
01-07-2021,101.973,102.205
01-06-2021,101.701,101.366
01-05-2021,101.714,101.125
01-04-2021,101.631,101.789
01-03-2021,101.071,100.762
01-02-2021,100.756,100.622
01-01-2021,100.773,101.039
01-12-2020,100.302,100.284
01-11-2020,99.939,100.202
01-10-2020,100.024,100.783
01-09-2020,99.954,100.177
01-08-2020,99.623,100.149
01-07-2020,99.471,100.77
01-06-2020,99.316,100.17
01-05-2020,99.296,100.172
01-04-2020,99.562,101.097
01-03-2020,99.748,100.115
01-02-2020,100.188,100.047
01-01-2020,100.352,100.551
01-12-2019,100.279,100.007
01-11-2019,100.088,99.94
01-10-2019,100.226,100.441
01-09-2019,99.981,99.876
01-08-2019,100.043,99.837
01-07-2019,99.882,100.337
01-06-2019,99.872,99.76
01-05-2019,100.159,99.739
01-04-2019,100.307,100.584
01-03-2019,99.806,99.745
01-02-2019,99.812,99.75
01-01-2019,99.6,100.26
01-12-2018,99.521,100.114
01-11-2018,99.445,100.221
01-10-2018,99.741,100.529
01-09-2018,99.588,100.445
01-08-2018,99.613,100.594
01-07-2018,99.653,100.982
01-06-2018,99.34,100.955
01-05-2018,99.284,100.907
01-04-2018,99.382,101.671
01-03-2018,99.134,101.403
01-02-2018,99.197,101.661
01-01-2018,99.412,102.202
