PA,SZ,FA,Hse,Time
Ang Mo Kio,Ang Mo Kio Town Centre,<=60,0,2011
Ang Mo Kio,Ang Mo Kio Town Centre,>60 to 80,120,2011
Ang Mo Kio,Ang Mo Kio Town Centre,>80 to 100,260,2011
Ang Mo Kio,Ang Mo Kio Town Centre,>100 to 120,970,2011
Ang Mo Kio,Ang Mo Kio Town Centre,>120,190,2011
Ang Mo Kio,Ang Mo Kio Town Centre,Not Available,120,2011
Ang Mo Kio,Cheng San,<=60,320,2011
Ang Mo Kio,Cheng San,>60 to 80,4530,2011
Ang Mo Kio,Cheng San,>80 to 100,3630,2011
Ang Mo Kio,Cheng San,>100 to 120,890,2011
Ang Mo Kio,Cheng San,>120,200,2011
Ang Mo Kio,Cheng San,Not Available,130,2011
Ang Mo Kio,Chong Boon,<=60,700,2011
Ang Mo Kio,Chong Boon,>60 to 80,4220,2011
Ang Mo Kio,Chong Boon,>80 to 100,3380,2011
Ang Mo Kio,Chong Boon,>100 to 120,940,2011
Ang Mo Kio,Chong Boon,>120,120,2011
Ang Mo Kio,Chong Boon,Not Available,180,2011
Ang Mo Kio,Kebun Bahru,<=60,1240,2011
Ang Mo Kio,Kebun Bahru,>60 to 80,3520,2011
Ang Mo Kio,Kebun Bahru,>80 to 100,2490,2011
Ang Mo Kio,Kebun Bahru,>100 to 120,240,2011
Ang Mo Kio,Kebun Bahru,>120,770,2011
Ang Mo Kio,Kebun Bahru,Not Available,140,2011
Ang Mo Kio,Sembawang Hills,<=60,20,2011
Ang Mo Kio,Sembawang Hills,>60 to 80,50,2011
Ang Mo Kio,Sembawang Hills,>80 to 100,190,2011
Ang Mo Kio,Sembawang Hills,>100 to 120,220,2011
Ang Mo Kio,Sembawang Hills,>120,1430,2011
Ang Mo Kio,Sembawang Hills,Not Available,60,2011
Ang Mo Kio,Shangri-La,<=60,1290,2011
Ang Mo Kio,Shangri-La,>60 to 80,2930,2011
Ang Mo Kio,Shangri-La,>80 to 100,1910,2011
Ang Mo Kio,Shangri-La,>100 to 120,340,2011
Ang Mo Kio,Shangri-La,>120,470,2011
Ang Mo Kio,Shangri-La,Not Available,90,2011
Ang Mo Kio,Tagore,<=60,0,2011
Ang Mo Kio,Tagore,>60 to 80,140,2011
Ang Mo Kio,Tagore,>80 to 100,0,2011
