PA,SZ,FA,HSE,Time
Ang Mo Kio,Ang Mo Kio Town Centre,<=60,0,2024
Ang Mo Kio,Ang Mo Kio Town Centre,>60 to 80,180,2024
Ang Mo Kio,Ang Mo Kio Town Centre,>80 to 100,460,2024
Ang Mo Kio,Ang Mo Kio Town Centre,>100 to 120,1030,2024
Ang Mo Kio,Ang Mo Kio Town Centre,>120,210,2024
Ang Mo Kio,Ang Mo Kio Town Centre,Not Available,120,2024
Ang Mo Kio,Cheng San,<=60,490,2024
Ang Mo Kio,Cheng San,>60 to 80,4700,2024
Ang Mo Kio,Cheng San,>80 to 100,4170,2024
Ang Mo Kio,Cheng San,>100 to 120,1290,2024
Ang Mo Kio,Cheng San,>120,210,2024
Ang Mo Kio,Cheng San,Not Available,130,2024
Ang Mo Kio,Chong Boon,<=60,700,2024
Ang Mo Kio,Chong Boon,>60 to 80,4340,2024
Ang Mo Kio,Chong Boon,>80 to 100,3630,2024
Ang Mo Kio,Chong Boon,>100 to 120,1130,2024
Ang Mo Kio,Chong Boon,>120,130,2024
Ang Mo Kio,Chong Boon,Not Available,180,2024
Ang Mo Kio,Kebun Bahru,<=60,1260,2024
Ang Mo Kio,Kebun Bahru,>60 to 80,3720,2024
Ang Mo Kio,Kebun Bahru,>80 to 100,2680,2024
Ang Mo Kio,Kebun Bahru,>100 to 120,370,2024
Ang Mo Kio,Kebun Bahru,>120,870,2024
Ang Mo Kio,Kebun Bahru,Not Available,140,2024
Ang Mo Kio,Sembawang Hills,<=60,40,2024
Ang Mo Kio,Sembawang Hills,>60 to 80,70,2024
Ang Mo Kio,Sembawang Hills,>80 to 100,160,2024
Ang Mo Kio,Sembawang Hills,>100 to 120,150,2024
Ang Mo Kio,Sembawang Hills,>120,1610,2024
Ang Mo Kio,Sembawang Hills,Not Available,50,2024
Ang Mo Kio,Shangri-La,<=60,1450,2024
Ang Mo Kio,Shangri-La,>60 to 80,2390,2024
Ang Mo Kio,Shangri-La,>80 to 100,2100,2024
Ang Mo Kio,Shangri-La,>100 to 120,470,2024
Ang Mo Kio,Shangri-La,>120,460,2024
Ang Mo Kio,Shangri-La,Not Available,80,2024
Ang Mo Kio,Tagore,<=60,50,2024
Ang Mo Kio,Tagore,>60 to 80,140,2024
Ang Mo Kio,Tagore,>80 to 100,60,2024
Ang Mo Kio,Tagore,>100 to 120,430,2024
Ang Mo Kio,Tagore,>120,1840,2024
Ang Mo Kio,Tagore,Not Available,10,2024
Ang Mo Kio,Townsville,<=60,730,2024
Ang Mo Kio,Townsville,>60 to 80,2410,2024
Ang Mo Kio,Townsville,>80 to 100,3650,2024
Ang Mo Kio,Townsville,>100 to 120,650,2024
Ang Mo Kio,Townsville,>120,530,2024
Ang Mo Kio,Townsville,Not Available,70,2024
Ang Mo Kio,Yio Chu Kang,<=60,0,2024
Ang Mo Kio,Yio Chu Kang,>60 to 80,0,2024
Ang Mo Kio,Yio Chu Kang,>80 to 100,0,2024
Ang Mo Kio,Yio Chu Kang,>100 to 120,0,2024
Ang Mo Kio,Yio Chu Kang,>120,0,2024
Ang Mo Kio,Yio Chu Kang,Not Available,0,2024
Ang Mo Kio,Yio Chu Kang East,<=60,40,2024
Ang Mo Kio,Yio Chu Kang East,>60 to 80,70,2024
Ang Mo Kio,Yio Chu Kang East,>80 to 100,40,2024
Ang Mo Kio,Yio Chu Kang East,>100 to 120,170,2024
Ang Mo Kio,Yio Chu Kang East,>120,1110,2024
Ang Mo Kio,Yio Chu Kang East,Not Available,0,2024
Ang Mo Kio,Yio Chu Kang North,<=60,0,2024
Ang Mo Kio,Yio Chu Kang North,>60 to 80,0,2024
Ang Mo Kio,Yio Chu Kang North,>80 to 100,0,2024
Ang Mo Kio,Yio Chu Kang North,>100 to 120,0,2024
Ang Mo Kio,Yio Chu Kang North,>120,0,2024
Ang Mo Kio,Yio Chu Kang North,Not Available,0,2024
Ang Mo Kio,Yio Chu Kang West,<=60,1310,2024
Ang Mo Kio,Yio Chu Kang West,>60 to 80,2590,2024
Ang Mo Kio,Yio Chu Kang West,>80 to 100,2710,2024
Ang Mo Kio,Yio Chu Kang West,>100 to 120,1160,2024
Ang Mo Kio,Yio Chu Kang West,>120,1760,2024
Ang Mo Kio,Yio Chu Kang West,Not Available,70,2024
Bedok,Bayshore,<=60,70,2024
Bedok,Bayshore,>60 to 80,120,2024
Bedok,Bayshore,>80 to 100,1460,2024
Bedok,Bayshore,>100 to 120,1070,2024
Bedok,Bayshore,>120,1430,2024
Bedok,Bayshore,Not Available,0,2024
Bedok,Bedok North,<=60,5310,2024
Bedok,Bedok North,>60 to 80,9740,2024
Bedok,Bedok North,>80 to 100,10910,2024
Bedok,Bedok North,>100 to 120,3150,2024
Bedok,Bedok North,>120,3140,2024
Bedok,Bedok North,Not Available,540,2024
Bedok,Bedok Reservoir,<=60,200,2024
Bedok,Bedok Reservoir,>60 to 80,1260,2024
Bedok,Bedok Reservoir,>80 to 100,1820,2024
Bedok,Bedok Reservoir,>100 to 120,3920,2024
Bedok,Bedok Reservoir,>120,2200,2024
Bedok,Bedok Reservoir,Not Available,60,2024
Bedok,Bedok South,<=60,2490,2024
Bedok,Bedok South,>60 to 80,3360,2024
Bedok,Bedok South,>80 to 100,4950,2024
Bedok,Bedok South,>100 to 120,2270,2024
Bedok,Bedok South,>120,5570,2024
Bedok,Bedok South,Not Available,180,2024
Bedok,Frankel,<=60,1230,2024
Bedok,Frankel,>60 to 80,850,2024
Bedok,Frankel,>80 to 100,1300,2024
Bedok,Frankel,>100 to 120,1970,2024
Bedok,Frankel,>120,8140,2024
Bedok,Frankel,Not Available,400,2024
Bedok,Kaki Bukit,<=60,1070,2024
Bedok,Kaki Bukit,>60 to 80,2180,2024
Bedok,Kaki Bukit,>80 to 100,3330,2024
Bedok,Kaki Bukit,>100 to 120,1650,2024
Bedok,Kaki Bukit,>120,4230,2024
Bedok,Kaki Bukit,Not Available,100,2024
Bedok,Kembangan,<=60,2180,2024
Bedok,Kembangan,>60 to 80,3080,2024
Bedok,Kembangan,>80 to 100,2090,2024
Bedok,Kembangan,>100 to 120,1780,2024
Bedok,Kembangan,>120,4540,2024
Bedok,Kembangan,Not Available,190,2024
Bedok,Siglap,<=60,290,2024
Bedok,Siglap,>60 to 80,420,2024
Bedok,Siglap,>80 to 100,160,2024
Bedok,Siglap,>100 to 120,550,2024
Bedok,Siglap,>120,2170,2024
Bedok,Siglap,Not Available,0,2024
Bishan,Bishan East,<=60,300,2024
Bishan,Bishan East,>60 to 80,1370,2024
Bishan,Bishan East,>80 to 100,2610,2024
Bishan,Bishan East,>100 to 120,1710,2024
Bishan,Bishan East,>120,3890,2024
Bishan,Bishan East,Not Available,50,2024
Bishan,Marymount,<=60,50,2024
Bishan,Marymount,>60 to 80,10,2024
Bishan,Marymount,>80 to 100,490,2024
Bishan,Marymount,>100 to 120,5230,2024
Bishan,Marymount,>120,3490,2024
Bishan,Marymount,Not Available,40,2024
Bishan,Upper Thomson,<=60,1010,2024
Bishan,Upper Thomson,>60 to 80,2040,2024
Bishan,Upper Thomson,>80 to 100,1760,2024
Bishan,Upper Thomson,>100 to 120,2060,2024
Bishan,Upper Thomson,>120,5040,2024
Bishan,Upper Thomson,Not Available,80,2024
Boon Lay,Liu Fang,<=60,0,2024
Boon Lay,Liu Fang,>60 to 80,0,2024
Boon Lay,Liu Fang,>80 to 100,0,2024
Boon Lay,Liu Fang,>100 to 120,0,2024
Boon Lay,Liu Fang,>120,0,2024
Boon Lay,Liu Fang,Not Available,0,2024
Boon Lay,Samulun,<=60,0,2024
Boon Lay,Samulun,>60 to 80,0,2024
Boon Lay,Samulun,>80 to 100,0,2024
Boon Lay,Samulun,>100 to 120,0,2024
Boon Lay,Samulun,>120,0,2024
Boon Lay,Samulun,Not Available,0,2024
Boon Lay,Shipyard,<=60,0,2024
Boon Lay,Shipyard,>60 to 80,0,2024
Boon Lay,Shipyard,>80 to 100,0,2024
Boon Lay,Shipyard,>100 to 120,0,2024
Boon Lay,Shipyard,>120,0,2024
Boon Lay,Shipyard,Not Available,0,2024
Boon Lay,Tukang,<=60,0,2024
Boon Lay,Tukang,>60 to 80,0,2024
Boon Lay,Tukang,>80 to 100,0,2024
Boon Lay,Tukang,>100 to 120,0,2024
Boon Lay,Tukang,>120,0,2024
Boon Lay,Tukang,Not Available,0,2024
Bukit Batok,Brickworks,<=60,4450,2024
Bukit Batok,Brickworks,>60 to 80,1270,2024
Bukit Batok,Brickworks,>80 to 100,3820,2024
Bukit Batok,Brickworks,>100 to 120,2180,2024
Bukit Batok,Brickworks,>120,80,2024
Bukit Batok,Brickworks,Not Available,0,2024
Bukit Batok,Bukit Batok Central,<=60,860,2024
Bukit Batok,Bukit Batok Central,>60 to 80,1770,2024
Bukit Batok,Bukit Batok Central,>80 to 100,1640,2024
Bukit Batok,Bukit Batok Central,>100 to 120,3450,2024
Bukit Batok,Bukit Batok Central,>120,2000,2024
Bukit Batok,Bukit Batok Central,Not Available,70,2024
Bukit Batok,Bukit Batok East,<=60,0,2024
Bukit Batok,Bukit Batok East,>60 to 80,2350,2024
Bukit Batok,Bukit Batok East,>80 to 100,1130,2024
Bukit Batok,Bukit Batok East,>100 to 120,440,2024
Bukit Batok,Bukit Batok East,>120,580,2024
Bukit Batok,Bukit Batok East,Not Available,80,2024
Bukit Batok,Bukit Batok South,<=60,0,2024
Bukit Batok,Bukit Batok South,>60 to 80,140,2024
